name,homepage,count,booktitle
Carlos Ordonez 0001,https://scholar.google.com/citations?user=W9YkIcoAAAAJ,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Arnaud Sahuguet,http://db.bell-labs.com/user/sahuguet/,3,SIGMOD Conference
Michael Greenwald,http://www.cs.bell-labs.com/cm/cs/who/mbgreen/,1,SIGMOD Conference
Guozhu Dong,https://scholar.google.com/citations?user=mL6QKeQAAAAJ,2,SIGMOD Conference
Theodore Johnson,http://www.research.att.com/info/johnsont,5,SIGMOD Conference
Yahiko Kambayashi,http://www.isse.kuis.kyoto-u.ac.jp/Welcome-e.html,1,SIGMOD Conference
Jens-Peter Dittrich,https://www.youtube.com/user/jensdit,1,SIGMOD Conference
Bernd Amann,https://scholar.google.com/citations?user=jKHvF80AAAAJ,1,SIGMOD Conference
Karin Kailing,http://www.almaden.ibm.com/cs/people/murthy/,1,SIGMOD Conference
Caetano Traina Jr.,https://scholar.google.com/citations?user=h2ivd3AAAAAJ,1,SIGMOD Conference
Divyakant Agrawal,https://scholar.google.com/citations?user=XcaEg-cAAAAJ,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Tom Barclay,http://www.research.microsoft.com/research/BARC/TBarclay/,1,SIGMOD Conference
Hasan M. Jamil,https://scholar.google.com/citations?user=3x4_nY4AAAAJ,1,SIGMOD Conference
Kyu-Young Whang,https://scholar.google.com/citations?user=LZSo1YEAAAAJ,2,SIGMOD Conference
Sean C. Rhea,https://www.linkedin.com/in/seanrhea,1,SIGMOD Conference
Ioana Stanoi,http://www.research.ibm.com/people/i/irs/,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Hua Lu 0001,https://scholar.google.com/citations?user=h1mExmcAAAAJ,1,SIGMOD Conference
Avigdor Gal,https://scholar.google.com/citations?user=APs1p2oAAAAJ,1,SIGMOD Conference
Jianwen Su,https://scholar.google.com/citations?user=JpC9bmEAAAAJ,2,SIGMOD Conference
Alexander Aiken,https://scholar.google.com/citations?user=3vKjkoQAAAAJ,1,SIGMOD Conference
Guy M. Lohman,http://researcher.ibm.com/researcher/view.php?person=us-lohmang,5,SIGMOD Conference
Zachary G. Ives,https://twitter.com/zgives,4,SIGMOD Conference
P. P. S. Narayan,http://www.bell-labs.com/user/ppsnarayan/,2,SIGMOD Conference
Alin Deutsch,https://scholar.google.com/citations?user=2lZr6WsAAAAJ,1,SIGMOD Conference
Harumi A. Kuno,http://www.labs.hpe.com/people/harumi_kuno/,1,SIGMOD Conference
Mehul A. Shah,http://www.hpl.hp.com/personal/Mehul_Shah/index.html,4,SIGMOD Conference
Goetz Graefe,https://www.linkedin.com/in/goetz-graefe-342a26226,1,SIGMOD Conference
Peter Alvaro,https://twitter.com/palvaro,1,SIGMOD Conference
Sharad Mehrotra,https://scholar.google.com/citations?user=MTZaRW4AAAAJ,4,SIGMOD Conference
Piero Fraternali,https://scholar.google.com/citations?user=IhFm8bIAAAAJ,1,SIGMOD Conference
Xin Dong 0001,https://scholar.google.com/citations?user=uGsKvHoAAAAJ,1,SIGMOD Conference
Mark R. Tuttle,http://www.markrtuttle.com/,1,SIGMOD Conference
Xiaoyang Sean Wang,https://scholar.google.com/citations?user=AHOG_MgAAAAJ,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Ravi Kumar 0001,https://sites.google.com/site/ravik53/,1,SIGMOD Conference
Amol Deshpande,https://scholar.google.com/citations?user=Zmvi6PMAAAAJ,4,SIGMOD Conference
Andrew Lim 0001,https://www.scopus.com/authid/detail.uri?authorId=7202659054,1,SIGMOD Conference
Dimitrios Gunopulos,https://scholar.google.com/citations?user=PHJokEQAAAAJ,4,SIGMOD Conference
Carlos Ordonez 0001,https://scholar.google.com/citations?user=W9YkIcoAAAAJ,2,SIGMOD Conference
Nesime Tatbul,https://scholar.google.com/citations?user=YlsHgYQAAAAJ,1,SIGMOD Conference
Chen Li 0001,https://www.linkedin.com/in/chen-li-a98949/,2,SIGMOD Conference
Shimin Chen,https://scholar.google.com/citations?user=mGPuiasAAAAJ,2,SIGMOD Conference
Inderpal Narang,http://www.almaden.ibm.com/background/?narang,2,SIGMOD Conference
Charu C. Aggarwal,https://scholar.google.com/citations?user=x_wsduUAAAAJ,4,SIGMOD Conference
Walid G. Aref,https://scholar.google.com/citations?user=vX45evgAAAAJ,2,SIGMOD Conference
Dimitris Papadias,https://scholar.google.com/citations?user=7BPMWSkAAAAJ,6,SIGMOD Conference
Eamonn J. Keogh,https://scholar.google.com/citations?user=slVcOQIAAAAJ,1,SIGMOD Conference
Weiyi Meng,https://scholar.google.com/citations?user=C-wDOskAAAAJ,2,SIGMOD Conference
Bin Cui 0001,https://scholar.google.com/citations?user=IJAU8KoAAAAJ,1,SIGMOD Conference
Hong Cheng 0001,https://www.linkedin.com/in/hong-cheng-018b034,2,SIGMOD Conference
Yufei Tao 0001,https://scholar.google.com/citations?user=3FmJBHkAAAAJ,9,SIGMOD Conference
Xifeng Yan,https://scholar.google.com/citations?user=XZV2eogAAAAJ,6,SIGMOD Conference
Vijayshankar Raman,http://domino.research.ibm.com/comm/research_people.nsf/pages/rshankar.index.html,2,SIGMOD Conference
Jennie Duggan,https://scholar.google.com/citations?user=kVUa9ZoAAAAJ,1,SIGMOD Conference
Mihai Lupu,https://scholar.google.com/citations?user=z2dLFPgAAAAJ,1,SIGMOD Conference
Marcos Andr Gonalves,https://www.scopus.com/authid/detail.uri?authorId=7202320526,1,SIGMOD Conference
Michael Mathioudakis,https://scholar.google.com/citations?user=kZti0OcAAAAJ,1,SIGMOD Conference
Il-Yeol Song,https://scholar.google.com/citations?user=amST1igAAAAJ,1,SIGMOD Conference
Shuai Ma 0001,https://scholar.google.com/citations?user=vJUjFpQAAAAJ,1,SIGMOD Conference
Marios Hadjieleftheriou,http://www2.research.att.com/~marioh/,3,SIGMOD Conference
Francesco Gullo,https://scholar.google.com/citations?user=ueZsy3wAAAAJ,1,SIGMOD Conference
Arnd Christian Knig,http://research.microsoft.com/~chrisko/,1,SIGMOD Conference
Jerry Kiernan,http://www.almaden.ibm.com/cs/people/jkiernan/,1,SIGMOD Conference
Elton Domnori,https://sites.google.com/site/eltondomnori/,1,SIGMOD Conference
Philip Bohannon,https://www.linkedin.com/in/philip-bohannon-88624a2,2,SIGMOD Conference
Christoph Koch 0001,https://scholar.google.com/citations?user=bMQIencAAAAJ,7,SIGMOD Conference
Xiaoyang Sean Wang,https://scholar.google.com/citations?user=AHOG_MgAAAAJ,1,SIGMOD Conference
Lucian Popa 0001,https://scholar.google.com/citations?user=1JhvxSEAAAAJ,3,SIGMOD Conference
Bjrn r Jnsson 0001,https://scholar.google.com/citations?user=syXaq1IAAAAJ,1,SIGMOD Conference
Peter M. Fischer 0001,https://www.linkedin.com/in/peter-m-fischer-3063457,1,SIGMOD Conference
Chi Wang 0001,https://www.microsoft.com/en-us/research/people/chiw/,1,SIGMOD Conference
Yunyao Li 0001,https://scholar.google.com/citations?user=0gGww7sAAAAJ,5,SIGMOD Conference
Daniel J. Abadi,https://scholar.google.com/citations?user=zxeEF2gAAAAJ,6,SIGMOD Conference
Alexander Kalinin 0001,https://www.linkedin.com/in/allexk,1,SIGMOD Conference
Kavitha Srinivas,https://scholar.google.com/citations?user=nSyJu7EAAAAJ,1,SIGMOD Conference
Christian Bhm 0001,https://scholar.google.com/citations?user=T9OSNwkAAAAJ,1,SIGMOD Conference
Ashwin Machanavajjhala,https://scholar.google.com/citations?user=A0hv6xwAAAAJ,2,SIGMOD Conference
Neil Conway,https://twitter.com/neil_conway,1,SIGMOD Conference
Verena Kantere,https://scholar.google.com/citations?user=av8jooQAAAAJ,1,SIGMOD Conference
Kris Ganjam,http://research.microsoft.com/~krisgan/,1,SIGMOD Conference
Gautam Das 0001,https://scholar.google.com/citations?user=oleB9xIAAAAJ,10,SIGMOD Conference
Jin Li 0001,http://research.microsoft.com/en-us/um/people/jinl/redesign/default.aspx,1,SIGMOD Conference
Tian He 0001,https://scholar.google.com/citations?user=hc1m_BQAAAAJ,1,SIGMOD Conference
Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,5,SIGMOD Conference
Sergei D. Kuznetsov,https://www.scopus.com/authid/detail.uri?authorId=7202573389,1,SIGMOD Conference
Atul Adya,http://research.microsoft.com/~adya/,3,SIGMOD Conference
Alexandra Meliou,https://scholar.google.com/citations?user=sOzdfjYAAAAJ,1,SIGMOD Conference
Xiaokui Xiao,https://scholar.google.com/citations?user=BpgsGX0AAAAJ,7,SIGMOD Conference
Xuan Zhou 0001,https://scholar.google.com/citations?user=YcJn26QAAAAJ,1,SIGMOD Conference
Maya Ramanath,https://scholar.google.com/citations?user=y6BXzxIAAAAJ,1,SIGMOD Conference
Mohammad Sadoghi,https://scholar.google.com/citations?user=Lx9fbJoAAAAJ,2,SIGMOD Conference
Jingren Zhou,http://research.microsoft.com/en-us/um/people/jrzhou/,3,SIGMOD Conference
Xing Xie 0001,https://www.microsoft.com/en-us/research/people/xingx/,1,SIGMOD Conference
Sarvjeet Singh,http://sarvjeet.com/,2,SIGMOD Conference
Jayavel Shanmugasundaram,http://research.yahoo.com/~jaishan,4,SIGMOD Conference
Michael S. Bernstein,https://twitter.com/msbernst,1,SIGMOD Conference
Carlo Zaniolo,https://scholar.google.com/citations?user=f8FjAtMAAAAJ,3,SIGMOD Conference
Konstantin Makarychev,https://scholar.google.com/citations?user=-E3hYj8AAAAJ,1,SIGMOD Conference
Vivek R. Narasayya,http://research.microsoft.com/~viveknar/,3,SIGMOD Conference
Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,1,SIGMOD Conference
Monica Scannapieco,https://www.linkedin.com/in/monica-scannapieco-031235,1,SIGMOD Conference
Alexander Bhm 0002,https://www.linkedin.com/in/alexander-b%C3%B6hm-2030392/,1,SIGMOD Conference
Ahmed Metwally 0001,https://scholar.google.com/citations?user=giHMdcEAAAAJ,1,SIGMOD Conference
James R. Hamilton,http://www.mvdirona.com/jrh/Work/,1,SIGMOD Conference
Eli Cortez,https://twitter.com/elicortez,2,SIGMOD Conference
Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3,SIGMOD Conference
Rahul Shah 0001,https://scholar.google.com/citations?user=ZpkdT2UAAAAJ,1,SIGMOD Conference
Matthias Schubert,https://scholar.google.com/citations?user=GEnUYjQAAAAJ,1,SIGMOD Conference
Tyson Condie,https://www.linkedin.com/in/tcondie,1,SIGMOD Conference
Jeffrey Xu Yu,https://scholar.google.com/citations?user=iHevumsAAAAJ,6,SIGMOD Conference
Heiko Mller 0001,https://www.linkedin.com/in/heiko-mueller-68825843,2,SIGMOD Conference
Qiong Luo 0001,https://scholar.google.com/citations?user=SqAsppUAAAAJ,4,SIGMOD Conference
Christian S. Jensen,https://twitter.com/csj42,2,SIGMOD Conference
Yannis Theodoridis,https://scholar.google.com/citations?user=1f5twhoAAAAJ,2,SIGMOD Conference
Umeshwar Dayal,https://www.hitachi.com/rd/about/leaders_td/umeshwar_dayal/index.html,3,SIGMOD Conference
Frank Neven,https://twitter.com/fneven,2,SIGMOD Conference
Edleno Silva de Moura,https://scholar.google.com/citations?user=gMHGurgAAAAJ,2,SIGMOD Conference
Kaushik Chakrabarti,http://research.microsoft.com/users/kaushik/,4,SIGMOD Conference
Donald Kossmann,https://www.microsoft.com/en-us/research/people/donaldk/https://www.microsoft.com/en-us/research/people/donaldk/,8,SIGMOD Conference
Youngdae Kim,https://twitter.com/yongdaek,1,SIGMOD Conference
Hicham G. Elmongui,https://scholar.google.com/citations?user=Rh70eUEAAAAJ,1,SIGMOD Conference
Sanjay Agrawal 0001,http://research.microsoft.com/~sagrawal/,1,SIGMOD Conference
Sailesh Krishnamurthy,http://sailesh.googlepages.com/,1,SIGMOD Conference
Dhaval Patel 0002,https://scholar.google.com/citations?user=c06_VJAAAAAJ,1,SIGMOD Conference
Stratos Idreos,https://scholar.google.com/citations?user=rg6Bl5YAAAAJ,2,SIGMOD Conference
Debabrata Dash,https://scholar.google.com/citations?user=_YroXykAAAAJ,2,SIGMOD Conference
Maria P. Grineva,https://scholar.google.com/citations?user=-oI2GmoAAAAJ,1,SIGMOD Conference
Jagan Sankaranarayanan,https://scholar.google.com/citations?user=AZREOBUAAAAJ,1,SIGMOD Conference
Alexandros Ntoulas,https://scholar.google.com/citations?user=DvF0gBIAAAAJ,1,SIGMOD Conference
Jens Dittrich,https://www.youtube.com/user/jensdit,1,SIGMOD Conference
Laks V. S. Lakshmanan,https://scholar.google.com/citations?user=_RCsaOsAAAAJ,1,SIGMOD Conference
Evimaria Terzi,https://scholar.google.com/citations?user=j6KFCRAAAAAJ,2,SIGMOD Conference
Kara Greenfield,https://scholar.google.com/citations?user=j2-hJvIAAAAJ,1,SIGMOD Conference
Divyakant Agrawal,https://scholar.google.com/citations?user=XcaEg-cAAAAJ,6,SIGMOD Conference
Vinayak R. Borkar,https://www.linkedin.com/in/vinayakborkar,2,SIGMOD Conference
Kenneth Salem,https://scholar.google.com/citations?user=t7z2V78AAAAJ,3,SIGMOD Conference
Calisto Zuzarte,https://scholar.google.com/citations?user=KBFwwPMAAAAJ,2,SIGMOD Conference
Haixun Wang,https://www.linkedin.com/in/haixun,10,SIGMOD Conference
Reynold Cheng,https://scholar.google.com/citations?user=7R7MSb4AAAAJ,1,SIGMOD Conference
Giansalvatore Mecca,https://scholar.google.com/citations?user=4fAH8jIAAAAJ,2,SIGMOD Conference
Carsten Binnig,https://scholar.google.com/citations?user=Iqsl_XMAAAAJ,2,SIGMOD Conference
Jianyong Wang 0001,https://scholar.google.com/citations?user=VfBaiG8AAAAJ,1,SIGMOD Conference
Henrique Andrade,http://domino.research.ibm.com/comm/research_people.nsf/pages/hcma.index.html,1,SIGMOD Conference
Russell Sears,https://www.linkedin.com/in/russell-sears-06266791,2,SIGMOD Conference
Mohamed F. Mokbel,https://scholar.google.com/citations?user=GHz1ZVIAAAAJ,3,SIGMOD Conference
Sriram Padmanabhan,http://www.research.ibm.com/people/s/srp/,1,SIGMOD Conference
Arijit Khan 0001,https://scholar.google.com/citations?user=6Y-m8k4AAAAJ,2,SIGMOD Conference
Ajay Gupta 0004,http://domino.research.ibm.com/comm/research_people.nsf/pages/ajay_gupta.index.html,1,SIGMOD Conference
Ulf Leser,https://scholar.google.com/citations?user=VKfq59gAAAAJ,1,SIGMOD Conference
Srinivasan Parthasarathy 0002,http://researcher.watson.ibm.com/researcher/view.php?person=us-spartha,1,SIGMOD Conference
Altigran Soares da Silva,https://scholar.google.com/citations?user=Ka6w1vgAAAAJ,2,SIGMOD Conference
Ada Wai-Chee Fu,https://scholar.google.com/citations?user=tcwyqtUAAAAJ,2,SIGMOD Conference
Lu An Tang,https://www.linkedin.com/in/luantang,1,SIGMOD Conference
Yannis Papakonstantinou,https://scholar.google.com/citations?user=81cvn3sAAAAJ,3,SIGMOD Conference
Yizhou Sun,https://scholar.google.com/citations?user=TQgOjK0AAAAJ,4,SIGMOD Conference
Eric Bouillet,https://scholar.google.com/citations?user=FNwvBc0AAAAJ,1,SIGMOD Conference
Kostas Stefanidis,https://scholar.google.com/citations?user=Lck1uq8AAAAJ,1,SIGMOD Conference
Juanzi Li,https://scholar.google.com/citations?user=SgNB-ioAAAAJ,1,SIGMOD Conference
Jian Li 0015,https://scholar.google.com/citations?user=zX7i1EkAAAAJ,2,SIGMOD Conference
Jianzhong Li 0001,https://scholar.google.com/citations?user=RLFOrxsAAAAJ,4,SIGMOD Conference
Arvind Arasu,http://research.microsoft.com/~arvinda/,5,SIGMOD Conference
Antonio Alfredo Ferreira Loureiro,https://scholar.google.com/citations?user=GOGlTIMAAAAJ,1,SIGMOD Conference
Leilani Battle,https://scholar.google.com/citations?user=xmGJYNIAAAAJ,1,SIGMOD Conference
David B. Lomet,http://research.microsoft.com/en-us/people/lomet/,1,SIGMOD Conference
K. K. Ramakrishnan,https://scholar.google.com/citations?user=Da-s1FQAAAAJ,1,SIGMOD Conference
Nick Koudas,https://twitter.com/koudas,10,SIGMOD Conference
Venkatesh Ganti,http://research.microsoft.com/~vganti/,3,SIGMOD Conference
Alberto H. F. Laender,https://scholar.google.com/citations?user=HJhu4csAAAAJ,1,SIGMOD Conference
Jignesh M. Patel,https://www.linkedin.com/in/jigneshmpatel,7,SIGMOD Conference
Jos A. Blakeley,https://scholar.google.com/citations?user=VV3ByXUAAAAJ,2,SIGMOD Conference
Xiang Lian,https://scholar.google.com/citations?user=xvrh8YMAAAAJ,3,SIGMOD Conference
Chengkai Li 0001,https://twitter.com/chengkai_li,1,SIGMOD Conference
Nan Tang 0001,https://twitter.com/ntang928,1,SIGMOD Conference
Man Lung Yiu,https://www4.comp.polyu.edu.hk/~csmlyiu/,1,SIGMOD Conference
Frederick Reiss 0001,https://www.linkedin.com/in/fred-reiss/,3,SIGMOD Conference
Anish Das Sarma,https://www.linkedin.com/in/anishdassarma,3,SIGMOD Conference
Ji-Rong Wen,https://www.linkedin.com/in/ji-rong-wen-38933a4,1,SIGMOD Conference
