id,name,homepage,pubid,pubkey,booktitle,editor,year,title
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3118278,conf/sigmod/0001MHGZHMM21,SIGMOD Conference,,2021,Parallelizing Intra-Window Join on Multicores: An Experimental Study.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3119434,conf/sigmod/ChenJHT16,SIGMOD Conference,,2016,A Study of Sorting Algorithms on Approximate Memory.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3119468,conf/sigmod/ChenWHY10,SIGMOD Conference,,2010,Large graph processing in the cloud.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3119482,conf/sigmod/ChengHLLHG16,SIGMOD Conference,,2016,Efficient Query Processing on Many-core Architectures: A Case Study with Intel Xeon Phi Processor.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3120038,conf/sigmod/FangHLYGLS07,SIGMOD Conference,,2007,GPUQP: query co-processing using graphics processors.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3120428,conf/sigmod/GuoL0HXT20,SIGMOD Conference,,2020,GPU-Accelerated Subgraph Enumeration on Partitioned Graphs.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3120583,conf/sigmod/HeLLY07,SIGMOD Conference,,2007,EaseDB: a cache-oblivious in-memory query processor.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3120590,conf/sigmod/HeYFLGLS08,SIGMOD Conference,,2008,Relational joins on graphics processors.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3120972,conf/sigmod/Kang0TCSH21,SIGMOD Conference,,2021,Efficient Deep Learning Pipelines for Accurate Cost Estimations Over Large Scale Query Workload.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3121613,conf/sigmod/LuSP0H21,SIGMOD Conference,,2021,Cache-Efficient Fork-Processing Patterns on Large Graphs.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3121642,conf/sigmod/LvCHC11,SIGMOD Conference,,2011,Operation-aware buffer management in flash-based systems.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3122258,conf/sigmod/PaulHH16,SIGMOD Conference,,2016,GPL: A GPU-based Pipelined Query Processing Engine.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3122259,conf/sigmod/PaulLHL21,SIGMOD Conference,,2021,MG-Join: A Scalable Join for Massively Parallel Multi-GPU Architectures.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3123038,conf/sigmod/SunCHH21,SIGMOD Conference,,2021,PathEnum: Towards Real-Time Hop-Constrained s-t Path Enumeration.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3123692,conf/sigmod/YeLHLS21,SIGMOD Conference,,2021,GPU-Accelerated Graph Label Propagation for Real-Time Fraud Detection.
384500,Bingsheng He,https://www.comp.nus.edu.sg/~hebs/,3123797,conf/sigmod/ZhangHZH19,SIGMOD Conference,,2019,BriskStream: Scaling Data Stream Processing on Shared-Memory Multicore Architectures.
387841,Biswanath Panda,http://www.cs.cornell.edu/~bpanda/,3119129,conf/sigmod/BrennaDGHOPRTW07,SIGMOD Conference,,2007,Cayuga: a high-performance event processing engine.
420473,Bruhathi Sundarmurthy,http://www.cs.wisc.edu/people/bruhathi,3123048,conf/sigmod/SundarmurthyKN18,BeyondMR@SIGMOD,,2018,Exploiting Data Partitioning To Provide Approximate Results.
420473,Bruhathi Sundarmurthy,http://www.cs.wisc.edu/people/bruhathi,3123196,conf/sigmod/TranNST14,SIGMOD Conference,,2014,"JECB: a join-extension, code-based approach to OLTP data partitioning."
429449,Byung Suk Lee 0001,https://www.uvm.edu/cems/cs/profiles/byung_s_lee,3123705,conf/sigmod/YoonS0L21,SIGMOD Conference,,2021,Multiple Dynamic Outlier-Detection from a Data Stream by Exploiting Duality of Data and Queries.
462603,Carolina Ruiz,http://web.cs.wpi.edu/~ruiz/,3121953,conf/sigmod/MukherjiLBWRWR13,SIGMOD Conference,,2013,PARAS: interactive parameter space exploration for association rule mining.
466102,Carter T. Butts,http://erzuli.ss.uci.edu/~buttsc/,3121793,conf/sigmod/MehrotraBKVAHLMMWEH04,SIGMOD Conference,,2004,CAMAS: A Citizen Awareness System for Crisis Mitigation.
474464,Cem Evrendilek,http://cs.ieu.edu.tr/bm_staff.php?staff_id=1183,3119856,conf/sigmod/DogacAEOADAOS94,SIGMOD Conference,,1994,METU Object-Oriented DBMS.
474464,Cem Evrendilek,http://cs.ieu.edu.tr/bm_staff.php?staff_id=1183,3119857,conf/sigmod/DogacHKOONDMAKE96,SIGMOD Conference,,1996,METU Interoperable Database System.
478207,Chaitanya K. Baru,http://users.sdsc.edu/~baru/,3118870,conf/sigmod/BaruFGHJPW95,SIGMOD Conference,,1995,An Overview of DB2 Parallel Edition.
478207,Chaitanya K. Baru,http://users.sdsc.edu/~baru/,3118871,conf/sigmod/BaruGLMPVC99,SIGMOD Conference,,1999,XML-Based Information Mediation with MIX.
478207,Chaitanya K. Baru,http://users.sdsc.edu/~baru/,3118872,conf/sigmod/BaruS84,SIGMOD Conference,,1984,Performance Evaluation of the Statistical Aggregation by Caterogization in the SM3 System.
481379,Chang Ge 0002,https://www-users.cse.umn.edu/~cge/,3118300,conf/sigmod/0002HIM19,SIGMOD Conference,,2019,APEx: Accuracy-Aware Differentially Private Data Exploration.
481379,Chang Ge 0002,https://www-users.cse.umn.edu/~cge/,3118303,conf/sigmod/0002LECK19,SIGMOD Conference,,2019,Speculative Distributed CSV Data Parsing for Big Data Analytics.
481379,Chang Ge 0002,https://www-users.cse.umn.edu/~cge/,3121815,conf/sigmod/MerajiSPCKSYGNK16,SIGMOD Conference,,2016,Towards a Hybrid Design for Fast Query Processing in DB2 with BLU Acceleration Using Graphical Processing Units: A Technology Demonstration.
498816,Chavdar Botev,http://www.cs.cornell.edu/~cbotev/,3118973,conf/sigmod/BhaskarBCGSSY06,SIGMOD Conference,,2006,Quark: an efficient XQuery full-text implementation.
498816,Chavdar Botev,http://www.cs.cornell.edu/~cbotev/,3119097,conf/sigmod/BotevSA04,SIGMOD Conference,,2004,A TeXQuery-Based XML Full-Text Search Engine.
498816,Chavdar Botev,http://www.cs.cornell.edu/~cbotev/,3120433,conf/sigmod/GuoSBS03,SIGMOD Conference,,2003,XRANK: Ranked Keyword Search over XML Documents.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3118925,conf/sigmod/BenediktCFFR03,SIGMOD Conference,,2003,Capturing both Types and Constraints in Data Integration.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3119229,conf/sigmod/CaoDCT08,SIGMOD Conference,,2008,Optimizing complex queries with multiple relation instances.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3119317,conf/sigmod/ChanET05,SIGMOD Conference,,2005,Stratified Computation of Skylines with Partially-Ordered Domains.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3119319,conf/sigmod/ChanI98,SIGMOD Conference,,1998,Bitmap Index Design and Evaluation.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3119320,conf/sigmod/ChanI99,SIGMOD Conference,,1999,An Efficient Bitmap Encoding Scheme for Selection Queries.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3119321,conf/sigmod/ChanJTTZ06,SIGMOD Conference,,2006,Finding k-dominant skylines in high dimensional space.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3119322,conf/sigmod/ChanN07,SIGMOD Conference,,2007,Efficient xml data dissemination with piggybacking.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3119404,conf/sigmod/ChenC08,SIGMOD Conference,,2008,Minimization of tree pattern queries with constraints.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3120010,conf/sigmod/FanCG04,SIGMOD Conference,,2004,Secure XML Querying with Security Views.
499888,Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3123540,conf/sigmod/WuCT16,SIGMOD Conference,,2016,Transaction Healing: Scaling Optimistic Concurrency Control on Multicores.
499991,Chee-Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3123193,conf/sigmod/TranC10,SIGMOD Conference,,2010,How to ConQueR why-not questions.
499991,Chee-Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3123194,conf/sigmod/TranCP09,SIGMOD Conference,,2009,Query by output.
499991,Chee-Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3123349,conf/sigmod/WangC18,SIGMOD Conference,,2018,Improving Join Reorderability with Compensation Operators.
499991,Chee-Yong Chan,http://www.comp.nus.edu.sg/~chancy/,3123546,conf/sigmod/WuGCT17,SIGMOD Conference,,2017,Fast Failure Recovery for Main-Memory DBMSs on Multicores.
500665,Chen Chen 0019,http://www.cis.upenn.edu/~chenche/,3119446,conf/sigmod/ChenLLAJLZ17,SIGMOD Conference,,2017,Distributed Provenance Compression.
